id,name,address,latitude,longitude,category,source,instagram_handle,instagram_url,tags,description,semantic_reasons
curated-amber,amber,東京都世田谷区奥沢5-42-3 トレインチ自由が丘 2F,35.6065625,139.6668125,coffee_shop,curated,@amber_jiyugaoka,https://www.instagram.com/amber_jiyugaoka/,study|spacious|specialty|quiet|atmosphere|cozy,スペシャルティコーヒー店です。店内で作業している人も多く、隣棟の SHARE LOUNGE を時間利用できる点も含めて仕事や長居できます。,奥沢5丁目の実在住所を確認|作業利用が見られる|SHARE LOUNGE を時間利用できる|コーヒーの質が高い｜ハンドドリップ
curated-onnibus,ONIBUS COFFEE 自由が丘店,東京都目黒区緑が丘2-24-8 arbre自由が丘,35.6085625,139.6718125,coffee_shop,curated,@onibuscoffee,https://www.instagram.com/onibuscoffee/,quiet|study|specialty|morning,店内も広い自由が丘駅近のスペシャルティ系カフェです。,駅から近い|朝利用に向く|作業しやすい雰囲気｜ハンドドリップ｜豆販売も
curated-compass-kuhonbutsu,コンパスコーヒー 九品仏店,東京都世田谷区奥沢6-13-7,35.6044375,139.6613125,both,curated,@compass_coffee_/,https://www.instagram.com/compass_coffee_/,roastery|specialty|quiet|cozy,九品仏駅近くで豆選びと店内利用の両方に寄せやすい、ロースト志向のコーヒー店です。,九品仏駅周辺をカバー|豆購入と喫茶の両立|ロースター志向
curated-aranciato,Cafe Aranciato,東京都世田谷区奥沢4-27-16,35.6031875,139.6718125,both,curated,@cafe_aranciato,https://www.instagram.com/cafe_aranciato/,quiet|cozy|roastery|specialty,奥沢側で落ち着いて過ごしやすく、コーヒー豆販売にも寄せられるロースターカフェです。,奥沢駅周辺をカバー|静かに過ごしやすい|豆販売にも対応
curated-chanoko,CHANOKO COFFEE ROASTERY,東京都世田谷区奥沢2-12-6 平井ビル1F,35.6055625,139.6715625,both,curated,@chanoko_coffee_roastery,https://www.instagram.com/chanoko_coffee_roastery/,roastery|specialty|quiet|cozy,奥沢神社近くの小さなロースタリーカフェです。豆販売もあり、一人で静かに過ごしたいときにもおすすめ。,奥沢駅徒歩圏|ロースター文脈が強い|静かな滞在向き
curated-ueshima-okusawa,上島珈琲店 奥沢店,東京都世田谷区奥沢2-12-10 自由が丘サウスヒルズ,35.6058125,139.6715625,coffee_shop,curated,@ueshimacoffeeten,https://www.instagram.com/ueshimacoffeeten/,study|spacious|cozy|morning,奥沢2丁目で席数があり、作業や勉強の受け皿として使いやすい定番カフェです。,奥沢2丁目の実在住所を確認|作業・勉強利用がしやすい|席数を取りやすい
curated-starbucks-okusawa-2,スターバックス コーヒー 奥沢2丁目店,東京都世田谷区奥沢2丁目38-9,35.6068,139.6769,coffee_shop,curated,starbucks-2,https://www.instagram.com/explore/locations/377928782604825/starbucks-2/,study|spacious|atmosphere|specialty,チェーン店ながら価格帯がやや上で、木材を多用したリラックスでモダンな空間が特徴の奥沢側候補です。,奥沢2丁目の実在住所を確認|作業や勉強の受け皿になりやすい|モダンで落ち着いた雰囲気
curated-sunset,Sunset Coffee Jiyugaoka,東京都目黒区自由が丘1-26-14 オクミズビル1F,35.6093125,139.6684375,coffee_stand,curated,@sunsetcoffee_jiyugaokaroastery/,https://www.instagram.com/sunsetcoffee_jiyugaokaroastery/,coffee_stand|roastery|specialty|morning|atmosphere,自由が丘駅近の小さなコーヒースタンドで、短時間の一杯やテイクアウトにおすすめです。,自由が丘1丁目の実在住所を確認|小さなコーヒースタンド|駅から近い
curated-alpha-beta,アルファ・ベータ・コーヒー・クラブ 自由が丘駅前店,東京都目黒区自由が丘2-10-4 ミルシェ自由が丘 3F,35.6081875,139.6680625,coffee_shop,curated,@abccoffeeclubjiyugaoka,https://www.instagram.com/abccoffeeclubjiyugaoka/,study|specialty|atmosphere|quiet,自由が丘駅すぐ。PC を開いて作業している人も多い、作業利用にもおすすめでコーヒーもおいしい。,自由が丘駅前店の実在住所を確認|PC 作業利用が見られる|駅から近く|おしゃれな内装
curated-kissa20,喫茶二十世紀,東京都目黒区自由が丘2-16-19,35.6090625,139.6658125,coffee_shop,curated,@kissa20official,https://www.instagram.com/kissa20official/,quiet|cozy|atmosphere|sweet,喫茶店寄りの落ち着いた時間を取りたいときに向く候補です。,自由が丘2丁目の実在住所を確認|静かさ重視と相性|喫茶文脈が強い
